Time,Time Code,Country Name,Country Code,Electronic payments used to make payments (% age 15+) [GFDD.AI.22],Bank concentration (%) [GFDD.OI.01],Bank net interest margin (%) [GFDD.EI.01]
2016,YR2016,China,CHN,..,39.34363,2.281803
2016,YR2016,East Asia & Pacific (IDA total),DEA,..,..,..
2016,YR2016,El Salvador,SLV,..,80.48013,4.878627
2016,YR2016,Europe & Central Asia (IDA total),DEC,..,..,..
2016,YR2016,"Egypt, Arab Rep.",EGY,..,64.08236,3.685876
2016,YR2016,France,FRA,..,64.6042,0.5879185
2016,YR2016,Germany,DEU,..,75.73625,0.7607464
2016,YR2016,Haiti,HTI,..,79.89392,5.401016
2016,YR2016,Japan,JPN,..,43.96114,0.7570254
2016,YR2016,India,IND,..,32.55191,2.805027
2016,YR2016,Indonesia,IDN,..,40.00982,6.400705
2016,YR2016,Italy,ITA,..,66.08113,1.059196
2016,YR2016,"Korea, Rep.",KOR,..,55.27537,1.914197
2016,YR2016,Least developed countries: UN classification,LDC,..,..,..
2016,YR2016,Mexico,MEX,..,51.27603,4.937742
2016,YR2016,Middle East & North Africa (IDA total),DMN,..,..,..
2016,YR2016,Nigeria,NGA,..,40.49417,5.651366
2016,YR2016,Nepal,NPL,..,18.11775,4.04118
2016,YR2016,Netherlands,NLD,..,86.11267,1.39318
2016,YR2016,Pakistan,PAK,..,42.13082,3.723625
2016,YR2016,Philippines,PHL,..,43.64956,3.392422
2016,YR2016,Saudi Arabia,SAU,..,53.99433,2.739205
2016,YR2016,Russian Federation,RUS,..,52.88961,4.902987
2016,YR2016,South Africa,ZAF,..,75.98981,3.462312
2016,YR2016,Spain,ESP,..,59.37997,1.02476
2016,YR2016,South Asia (IDA total),DSA,..,..,..
2016,YR2016,Switzerland,CHE,..,69.99805,1.01232
2016,YR2016,United States,USA,..,42.05115,3.287158
2016,YR2016,United Kingdom,GBR,..,57.91273,1.857563
2016,YR2016,Vietnam,VNM,..,42.16673,2.976617
2017,YR2017,Argentina,ARG,31.87287,49.47339,8.447949
2017,YR2017,Brazil,BRA,45.88944,74.96376,5.899632
2017,YR2017,Australia,AUS,93.57966,69.90095,1.727451
2017,YR2017,China,CHN,59.42419,37.88866,2.331507
2017,YR2017,East Asia & Pacific (IDA total),DEA,..,..,..
2017,YR2017,El Salvador,SLV,18.24859,79.77005,6.305869
2017,YR2017,Europe & Central Asia (IDA total),DEC,..,..,..
2017,YR2017,"Egypt, Arab Rep.",EGY,5.879028,59.39202,3.696826
2017,YR2017,France,FRA,89.51934,64.25063,0.5920687
2017,YR2017,Germany,DEU,96.54574,70.55082,0.8180764
2017,YR2017,Haiti,HTI,22.69956,82.59095,5.4149
2017,YR2017,Japan,JPN,88.59802,45.16447,0.6944829
2017,YR2017,India,IND,19.9719,36.00189,2.874403
2017,YR2017,Indonesia,IDN,26.75816,40.44444,5.813468
2017,YR2017,Italy,ITA,86.16905,60.77925,1.380188
2017,YR2017,"Korea, Rep.",KOR,90.76113,82.10449,1.610937
2017,YR2017,Least developed countries: UN classification,LDC,..,..,..
2017,YR2017,Mexico,MEX,22.74496,49.26705,5.920491
2017,YR2017,Middle East & North Africa (IDA total),DMN,..,..,..
2017,YR2017,Nigeria,NGA,23.72397,41.18531,7.400814
2017,YR2017,Nepal,NPL,9.112404,17.0471,4.256532
2017,YR2017,Netherlands,NLD,96.92425,85.83873,1.37256
2017,YR2017,Pakistan,PAK,14.31714,42.99826,3.218269
2017,YR2017,Philippines,PHL,13.63918,45.88205,3.590812
2017,YR2017,Saudi Arabia,SAU,57.46933,54.28491,2.988599
2017,YR2017,Russian Federation,RUS,61.63313,56.39226,4.834054
2017,YR2017,South Africa,ZAF,43.08006,76.7561,3.662491
2017,YR2017,Spain,ESP,88.18703,58.78511,1.1244
2017,YR2017,South Asia (IDA total),DSA,..,..,..
2017,YR2017,Switzerland,CHE,95.22417,67.06906,0.9345632
2017,YR2017,United States,USA,89.00045,41.44617,3.392058
2017,YR2017,United Kingdom,GBR,94.16043,58.24015,1.774997
2017,YR2017,Vietnam,VNM,16.09714,43.49236,2.838729
2018,YR2018,Argentina,ARG,..,54.3807,7.028522
2018,YR2018,Brazil,BRA,..,73.84729,4.874835
2018,YR2018,Australia,AUS,..,69.41371,1.654815
2018,YR2018,China,CHN,..,37.70798,2.149817
2018,YR2018,East Asia & Pacific (IDA total),DEA,..,..,..
2018,YR2018,El Salvador,SLV,..,71.84499,6.54389
2018,YR2018,Europe & Central Asia (IDA total),DEC,..,..,..
2018,YR2018,"Egypt, Arab Rep.",EGY,..,60.37391,3.343693
2018,YR2018,France,FRA,..,64.68967,0.478332
2018,YR2018,Germany,DEU,..,70.30778,0.7514042
2018,YR2018,Haiti,HTI,..,81.43786,5.545039
2018,YR2018,Japan,JPN,..,45.24924,0.6253906
2018,YR2018,India,IND,..,36.74998,2.924462
2018,YR2018,Indonesia,IDN,..,40.35675,5.462384
